zts1e	Negozio degli attrezzi di Teo
zts22340e	Per i fusti mi serve del Legno raro. Me lo porteresti?
zts22341e	Fantastico! È proprio il legno che mi serve!
zts22342e	Devo... devo confessarti una cosa! Un po' mi vergogno, ma...
zts22343e	Di recente stavo camminano nel Bosco di Aceri... All'improvviso, un'orda di Wollet mi ha sgraffignato tutta la Polvere di fata che mi era rimasta!
zts22344e	Senza la polvere, non si possono produrre le frecce. Potresti riportarmela?
zts22345e	Questa Polvere di fata dovrebbe bastare. La porto subito ad Amora.
zts22346e	Oh, no! Ma cosa hanno fatto gli Wollet alla mia Polvere di fata? Non brilla più! Guarda... completamente opaca... Non ha più alcuna utilità.
zts22347e	Aspetta! Ci servono solo un paio di Foglie di polvere dorate!
zts22348e	Con le foglie potrò lucidare per bene la polvere. Così tornerà a brillare come le stelle!
zts22349e	Grazie mille, <pname>!
zts22350e	Grazie a te le persone riscopriranno la gentilezza e torneranno a divertirsi!
zts22351e	Ora posso dedicarmi interamente alla mia missione. Bene... adesso... silenzio assoluto... (le si illumina il volto).
zts22352e	(Amora punta la freccia verso il tuo cuore.)
zts22353e	La discendente del Druido del fuoco
zts22354e	Ti do il benvenuto, <pname>! Purtroppo ho delle cattive notizie. Ci serve il tuo aiuto!
zts22355e	Ecco, guarda come sono stati decifrati questi ordini.
zts22356e	(Leggi gli ordini)
zts22357e	Uhm, dobbiamo richiudere immediatamente lo squarcio nel cielo.
zts22358e	Sì, assolutamente! Tuttavia... temo di non avere idea di come fare.
zts22359e	Ho sentito dire che durante la Grande Guerra si era verificato un problema simile. La leggenda narra che i nostri alleati riuscirono a chiudere lo squarcio nel cielo e a respingere l'invasione da Hellord.
zts22360e	Dobbiamo scoprire se sia successo veramente.
zts22361e	Sì, sono d'accordo. Purtroppo non esistono scritti sull'argomento: la leggenda della Grande Guerra è stata tramandata per via orale.
zts22362e	Può essere che i discendenti degli Eroi degli Orchi ne sappiano di più, dato che i loro avi presero parte alla guerra. Il primo passo è andare a parlare con Taita.
zts22363e	Quanti demoni!
zts22364e	Taita, ci serve il tuo aiuto.
zts22365e	Anche a me servirebbe. Stanno arrivando demoni a non finire! Senza qualcuno che mi dia una mano, non posso proprio farcela.
zts22366e	Nessun problema, me ne occuperò io.
zts22367e	Il discendente del Principe Bestia
zts22368e	Bene, il problema dei demoni è risolto.
zts22369e	Grazie. Mi piace quando le cose si svolgono in modo veloce ed efficiente! Dunque, cosa posso fare per te?
zts22370e	Potresti raccontarmi della Grande Guerra? Stando alla leggenda, gli Eroi degli Orchi riuscirono a respingere i demoni di Hellord che cercavano di irrompere dallo squarcio nel cielo. A quel punto, lo squarcio fu richiuso.
zts22371e	Purtroppo non posso parlarne.
zts22372e	E perché no? Abbiamo veramente bisogno di queste informazioni!
zts22373e	A noi Druidi del fuoco non è consentito parlare dello squarcio.
zts22374e	È un giuramento che abbiamo dovuto fare tutti.
zts22375e	Mi dispiace, ma non posso aiutarti... Può darsi però che Cottari possa dirti qualcosa.
zts22376e	E va bene, andrò da Cottari.
zts22377e	I demoni stanno dando i numeri
zts22378e	Cottari, ci serve il tuo aiuto.
zts22379e	Ciao, avventuriero. Una mano lava l'altra: prima dovrai darmi una mano col mio problema.
zts22380e	Quando stavo facendo la mia ronda nei pressi della Caverna della Bestia, ho notato dei demoni che stavano piazzando degli Obelischi del male in gran segreto.
zts22381e	Ho tentato di cacciarli, ma erano troppi.
zts22382e	Dobbiamo distruggere gli Obelischi del male prima che il potere del male inizi a diffondersi!
zts22383e	Posso occuparmene io, ma come faccio a trovare gli obelischi?
zts22384e	Vai nell'area sud della Caverna della Bestia. Là vicino troverai un altare distrutto.
zts22385e	Ho capito. Conta su di me!
zts22386e	La discendente del Sacerdote Boodoo
zts22387e	Ho sconfitto i mostri e distrutto tutti gli Obelischi del male.
zts22388e	Ottimo lavoro! Ora tocca a me. Cosa posso fare per te?
zts22389e	Vorrei conoscere la storia della Grande Guerra e dello squarcio nel cielo. In particolare, vorrei scoprire come si fa a chiuderlo. Avevo chiesto a Taita, ma lei mi ha detto che non le è concesso parlarne.
zts22390e	Uhm, purtroppo non posso aiutarti neanche io. So solo che nessuno deve sapere come è andata.
zts22391e	Ma perché non volete raccontarmi niente? Pure tu hai la bocca sigillata...?
zts22392e	Purtroppo è così. Forse Asgot potrebbe dirti di più.
zts22393e	E va bene, allora andrò da Asgot.
zts22394e	Statue di pietra fastidiose
zts22395e	Mi serve il tuo aiuto, Asgot.
zts22396e	Mi dispiace, ma ho da fare. Il mio Loa mi ha detto che è successo nuovamente: da queste parti sono state piazzate delle strane statue di pietra.
zts22397e	Distruggile e sconfiggi i demoni, e io in cambio ti aiuterò.
zts22398e	Capito. Tornerò in men che non si dica.
zts22399e	Il discendente del Crociato degli Orchi
zts22400e	Ho distrutto le statue e ho sconfitto i demoni, Asgot.
zts22401e	Grandioso! Ora tocca a me aiutarti.
zts22402e	Mi piacerebbe avere delle informazioni sullo squarcio nel cielo durante la Grande Guerra.
zts22403e	Uhm, mi dispiace, non ne so quasi nulla. Non ci sono scritti sull'argomento.
zts22404e	E perché no?
zts22405e	Suppongo che gli eroi che hanno sigillato lo squarcio non abbiano voluto che la loro storia fosse messa per iscritto.
zts22406e	Ho fatto la domanda anche al mio Loa, ma non risponde.
zts22407e	Probabilmente per chiudere lo squarcio ci è voluto un potere immenso. Se un tale potere dovesse finire nelle mani sbagliate, sarebbe la fine.
zts22408e	Forse potresti chiedere a Datius.
zts22409e	Be', sì, ovvio.
zts22410e	Vado da lui.
zts22411e	Che i Loa veglino su di te!
zts22412e	Fantasmi furiosi
zts22413e	Avrei bisogno del tuo aiuto, Datius.
zts22414e	Oh, ciao, avventuriero! Potremo parlare non appena avremo risolto il mio problema.
zts22415e	Alcuni demoni hanno fatto irruzione...
zts22416e	Li ho già sconfitti, ma l'energia corrotta che albergava nei loro cuori li ha trasformati in Fantasmi furiosi. Potresti liberarcene?
zts22417e	Ma certo! Me ne occupo io.
zts22418e	(Mostri, demoni e Fantasmi furiosi a perdita d'occhio. Spero non sia già troppo tardi...)
zts22419e	Il sacrificio
zts22420e	Ho sconfitto quei fantasmi aggressivi.
zts22421e	Grazie mille! Ora gli Orchi che si occupano della raccolta di materiali potranno lavorare in pace. Bene, ora possiamo parlare. Cosa posso fare per te?
zts22422e	Uhm, è il Re Spettro che sa queste cose. Per saperne di più, dovresti andare da lui.
zts22423e	Come ben sai, è necessario portare un'offerta al suo altare, al limitare del bosco.
zts22424e	Grazie. Porterò qualcosa in sacrificio.
zts22425e	Altare del Re Spettro
zts22426e	Oh, grande Re Spettro! Ecco un'offerta per te. Ti prego, ascolta la mia richiesta!
zts22427e	Ho sentito la tua supplica, mortale. Cosa ti spinge fin qui?
zts22428e	Mi piacerebbe avere delle informazioni sullo squarcio nel cielo durante la Grande Guerra.
zts22429e	Per sigillare lo squarcio occorre un potere enorme.
zts22430e	In pochi ne sono a conoscenza, perché se tale potere dovesse finire nelle mani sbagliate, sarebbe la fine.
zts22431e	Uhm... Morizios e NosVille sono in pericolo.
zts22432e	Se non sigilleremo lo squarcio sopra la Torre del Cielo, arriveranno orde di demoni da Hellord.
zts22433e	Infine, arriverà il loro sovrano in persona. Non possiamo permettere una cosa simile! Dobbiamo trovare quel potere e assicurare la pace nel Mondo!
zts22434e	Dici bene. È giunto il momento di sprigionare l'antico potere.
zts22435e	Gli eroi della Grande Guerra avevano previsto che i demoni avrebbero ritentato di conquistare il mondo. È per questo che hanno tramandato la loro storia, evitando che venisse dimenticata.
zts22436e	Tanto tempo fa, i demoni attaccarono l'Isola di Morizios.
zts22437e	Gli Orchi, i fantasmi e i Loa si allearono per combattere i demoni e difendere la loro patria.
zts22438e	Più la guerra andava avanti, più la speranza si affievoliva. I demoni distruggevano tutto quello che toccavano e il loro potere diventava sempre più grande.
zts22439e	Quattro potenti Loa trasferirono i loro poteri agli Orchi più potenti, creando così gli Eroi degli Orchi di cui parla la leggenda.
zts22440e	Fu questa la svolta che permise di mettere i demoni con le spalle al muro.
zts22441e	A quel punto, però, essi aprirono uno squarcio nel cielo. I sovrani di Hellord riuscirono a potenziare il loro esercito facendo arrivare i rinforzi.
zts22442e	Dallo squarcio fuoriuscirono demoni potentissimi: neanche gli eroi riuscivano a tener testa a quell'esercito enorme.
zts22443e	Gli eroi capirono che era necessario sigillare lo squarcio per poter vincere la guerra, e pregarono i Loa di conferirgli la forza necessaria.
zts22444e	I Loa gli diedero ascolto: infusero la loro forza e quella degli Eroi degli Orchi in degli enormi ago e filo.
zts22445e	Il prezzo da pagare, però, fu enorme. Per creare l'Ago e il Filo della sacra luce, fu necessario sacrificare i loro poteri. Molti di loro dovettero addirittura dare la loro vita.
zts22446e	Armati di questi cimeli sacri, gli eroi combatterono le orde di demoni e riuscirono a sigillare lo squarcio. La guerra era stata vinta!
zts22447e	Per chiudere lo squarcio dobbiamo procurarci quei cimeli sacri. Sai come trovarli?
zts22448e	Un attimo di pazienza. Non ho ancora finito di raccontare.
zts22449e	Gli eroi temevano che l'ago e il filo potessero finire nelle mani sbagliate. Questo avrebbe di certo causato la fine di Morizios.
zts22450e	Decisero di distruggerli, ma non ci riuscirono: il loro potere era troppo grande. Optarono quindi per nasconderli molto lontano da Morizios.
zts22451e	E dove, esattamente?
zts22452e	Gli eroi hanno inciso i nomi dei luoghi segreti su una tavola di pietra.
zts22453e	È una buona notizia. E dove si trova la tavola di pietra?
zts22454e	Ce l'ho io, ma la mostrerò solo a chi si rivelerà degno.
zts22455e	Dovrai superare la mia prova: solo così te la consegnerò.
zts22456e	Supererò la tua prova! Lo farò per Morizios e per NosVille!
zts22457e	Aha, mi piace il tuo atteggiamento. Che la prova abbia inizio!
zts22458e	La prova del Re Spettro
zts22461e	Un eroe degno
zts22462e	Ho superato la prova, me lo confermi?
zts22463e	Sapevo che ce l'avresti fatta.
zts22464e	Tu affronti sempre le sifde, non importa quanto siano difficili. Sono certo che l'ago e il filo saranno in buone mani con te.
zts22465e	Ecco a te. Su questa tavola ci sono le indicazioni su come trovare i cimeli.
zts22466e	Ai Campi Dorati!
zts22467e	Leggiamo l'incisione.
zts22468e	(L'incisione sulla tavola comincia a risplendere)
zts22469e	Che significa? Stando alla tavola, l'ago si trova...
zts22470e	... Nei Campi Dorati.
zts22471e	Si riferisce ai campi di grano? No, non sarebbe possibile. Se così fosse, i contadini l'avrebbero trovato. Non sarebbe un nascondiglio sicuro.
zts22472e	Uhm, magari si intende un deserto. Quando la sabbia riflette il Sole, si crea una luce dorata. Nessuno andrebbe a cercare un ago in un deserto.
zts22473e	Va bene. Forse potrò scoprire qualcosa andando a Desert Eagle City.
zts22474e	Come un ago in una duna
zts22475e	Trattandosi di reperti molto antichi, potrei chiedere all'Archeologo.
zts22476e	Scusa? Ho una domanda.
zts22477e	Sì?
zts22478e	Sto cercando un cimelio antico che contiene un grande potere: l'Ago della sacra luce.
zts22479e	Ne hai mai sentito parlare?
zts22480e	Uhm... L'Ago della sacra luce? No, non mi dice nulla.
zts22481e	Ma ho sentito parlare di quattro stranieri che vennero qui a nascondere un grosso oggetto nel deserto.
zts22482e	Quattro stranieri? Allora sono sulla giusta strada! Sai per caso di un albero solitario che cresce nel deserto?
zts22483e	No, non ne so nulla.
zts22484e	Forse potresti chiedere ai mercanti della zona: loro attraversano il deserto regolarmente! Loro sono gli unici che potrebbero aiutarti.
zts22485e	Sì, ha senso. Grazie mille! Andrò a parlare coi mercanti.
zts22486e	Che piacere, gentile cliente! Cosa posso fare per te?
zts22487e	Mi servono delle informazioni.
zts22488e	Ma certo! Ogni desiderio di un cliente è un ordine! Cosa vorresti sapere?
zts22489e	Sai qualcosa di un grande ago o di un albero che cresce da queste parti?
zts22490e	Non so nulla di un ago, ma ho sentito parlare di un albero misterioso.
zts22491e	Davvero? Dimmi di più.
zts22492e	Be', aspetta: solo la morte è gratis! Le informazioni sono una merce preziosa. Per il prezzo irrisorio di 100.000 unità di oro ti rivelerò quello che so.
zts22493e	Uhm, ci devo pensare. (Che avvoltoio! Ma che scelta ho?)
zts22494e	Ecco a te. Raccontami ciò che sai dell'albero.
zts22495e	Grazie mille, gentile cliente! Dunque...
zts22496e	Da qualche parte, nel deserto, c'è un albero spoglio. Una volta, un tizio aveva cercato di avvicinarvisi ed era scomparso.
zts22497e	Come, scusa? Scomparso?
zts22498e	Sì. Senza lasciare una traccia. Come una goccia d'acqua nella sabbia.
zts22499e	Che sia stato ingoiato dalle sabbie mobili?
zts22500e	Be', questo lo sa solo lui.
zts22501e	Se vuoi saperne di più, vai al Campo Akamur.
zts22502e	Là troverai dei mercanti che attraversano il deserto in lungo e in largo. Loro sapranno darti una mano!
zts22503e	Grazie mille! Mi metto subito in cammino.
zts22504e	Ciao! Posso chiederti una cosa?
zts22505e	Ciao, avventuriero. Certo, chiedi pure!
zts22506e	Ho sentito parlare di un albero che ha causato la scomparsa di un uomo. Sai per caso qualcosa a riguardo?
zts22507e	Oh, sì, conosco quella storia. Incredibile, vero?
zts22508e	Puoi dirmi dov'è successo?
zts22509e	Uhm, forse... Ma solo se mi fai un piacere!
zts22510e	Cosa posso fare per te?
zts22511e	Da quando siamo in affari con Morizios, a NosVille è aumentata la richiesta di Titanio nero, un minerale molto raro.
zts22512e	Il Titanio nero è incredibilmente versatile, e di conseguenza è molto apprezzato. Purtroppo non è facile da procurare... Potresti portarmi qualche Scheggia titanica nera?
zts22513e	Sì, lo farò. Ma in cambio voglio sentire tutta la storia, d'accordo?
zts22514e	Certo. Mantengo sempre la parola.
zts22515e	Ecco, delle Schegge titaniche nere, proprio come avevi chiesto.
zts22516e	Grandioso! Hai mantenuto la tua promessa, quindi farò lo stesso. Tutti i Mercanti Akamur sanno che l'albero si trova a nord, nel Deserto N.
zts22517e	Solo che quella è una zona che tendiamo a evitare.
zts22518e	Nel Deserto N? Uhm, ok. Ho capito dove si trova.
zts22519e	Oh, davvero? Ehm, volevo dire... Che bello! Mi fa piacere esserti stato utile. Ma stai in guardia: chiunque si sia avvicinato a quell'albero non è mai tornato!
zts22520e	Alla ricerca del Filo sacro
zts22521e	Finalmente ho trovato l'ago! Ora mi serve solo il filo. Vediamo un po'... Quali indizi ho a disposizione?
zts22522e	(Cerca il tempio abbandonato al limitare della volontà divina)
zts22523e	(Se non avrai timore delle divinità, otterrai il filo col quale sigillare lo squarcio)
zts22524e	Uhm, un luogo che si trova al limitare della volontà divina? Forse si intende Paradiso Mistico. Oppure Hellord...
zts22525e	L'iscrizione menziona delle divinità. Deve per forza riferirsi a Paradiso Mistico o a Hellord.
zts22526e	Uhm, allora dovrò esplorare l'Arcipelago Scomparso, dato che entrambi i luoghi si trovano lì.
zts22527e	È meglio che torni prima a NosVille a parlare con Graham.
zts22528e	Il Filo del cielo
zts22529e	Avrei bisogno del tuo aiuto, Crociato Graham.
zts22530e	È da tanto che non ci si vede! Come posso aiutarti?
