zts1e	Teo's Tool Shop
zts21608e	I've destroyed all the Obelisks of Evil. Are Cottari and his animals safe?
zts21609e	I've destroyed the sources of the smoke.
zts21610e	Great work! My animals are back to their normal selves. Thanks.
zts21611e	You're welcome. Now there's just one more person I need to go and see. Let's go to Datitus together.
zts21612e	Datitus! We're in trouble.
zts21613e	Taitur and Asgothi have already told me. I'm sorry that I didn't foresee this.
zts21614e	It's not your fault.
zts21615e	We need to rescue the people and then find out who put the traitors up to it.
zts21616e	Yes. Come on, let's go!
zts21617e	Wait. The spirits have quite suddenly become even more aggressive. They can sense the energy of the Demon God at the prison. It doesn't look like we can avoid fighting the spirits.
zts21618e	True. We need to break through the spirit ranks.
zts21619e	Now we can get past.
zts21620e	Yes. Let's hurry.
zts21621e	Act 7 - Rescue Mission
zts21622e	The people should be inside here. Quick, we've got to rescue them.
zts21623e	Okay. Hurry!
zts21624e	There seem to be a lot of opponents here.
zts21625e	And I can feel the life force of a lot of people over there.
zts21626e	We've rescued the orcs. Now let's get back to the entrance quickly.
zts21627e	I'm afraid that's not possible.
zts21628e	Why not?
zts21629e	The entrance is sealed with strong demon energy.
zts21630e	Which direction should we go, then?
zts21631e	Fresh air is coming from somewhere. There has to be another entrance. Follow me.
zts21632e	Act 7 - The Chief's True Colours
zts21633e	Why are you here? I instructed you to go back home to give you a chance to survive. You shouldn't have come back. Guards! Kill them all!
zts21634e	Oh my god! The chief's behind it all. We have to defeat him. And then we'll listen to what he's got to say.
zts21635e	Act 7 - Defeating Belial
zts21636e	It's over, Chief Tator.
zts21637e	You can't be the mastermind behind such a big conspiracy. So who is it?
zts21638e	That's true. You're not capable of wielding magic so powerful that we can't recognise it.
zts21639e	Damn it! Now I'm in a tight spot! Is it over? Okay. I will tell you everything before I die. On the day the sky tore open, countless demons came to our island. One of the demons was the Demon God Belial. The chief at the time, Urgos, fought bravely against him. But he couldn't withstand Belial's strength for long. Despair rose up inside me. It was clear that Belial would lead our people and our island to ruin. And suddenly I had an idea.  I stabbed Urgos in the back to help Belial.  In doing so, I swore my loyalty to the Demon God. And in return, Belial promised to spare the village and its inhabitants.
zts21640e	I see. And why did you have the villagers kidnapped, then?
zts21641e	That was necessary for our safety. I had to offer Belial a few people as sacrifices.
zts21642e	Otherwise our island would have gone up in flames. I've got nothing more to say. I know that I'm guilty, and that I've betrayed Urgos and all the others. Kill me now.
zts21643e	No, I won't do that. On the contrary, I think that, as chief, you should try to reclaim the island for all the orcs.
zts21644e	Huh? I don't understand what you mean. We're all going to die. Belial will come soon if no sacrifices are brought.
zts21645e	As he said... defeating Belial will be difficult because he's just so strong.
zts21646e	But in order to save the whole island, we must defeat him.
zts21647e	What? It's impossible to defeat Belial. I looked for a way but he's so incredibly powerful.
zts21648e	I can sense what his weakness is.
zts21649e	What? His weakness? Then you mean...
zts21650e	Before anything else we need to get out of here. Masses of demons and monsters are advancing.
zts21651e	That's true. I hate the darkness here.
zts21652e	Okay. Then let's get out of here.
zts21653e	Act 7 - Not Even Gods are Infallible
zts21654e	So, what do you know about Belial's weak spots?
zts21655e	I was able to eavesdrop on a conversation between Belial and his demons. In order to regain his power, he needs special marks. They are the Marks of Evil, Wrath and Greed. He has ordered the demons to erect the marks on the island. If the marks are destroyed, Belial will be weakened.
zts21656e	Where are these marks?
zts21657e	In the Polluted Forest, on the Forest Cliff and on the North Beach. To remove the marks, you'll need the opposing essences. You can obtain these essences from monsters and demons in this area.
zts21658e	So first I have to get the essences.
zts21659e	Exactly: the Corrupted Essences of Purity, Generosity and Serenity can become the Flawless Essences of Purity, Generosity and Serenity. You can destroy Belial's marks with the flawless essences.
zts21660e	Okay. That's as easy as I expected. I'll set off, then.
zts21661e	Take care.
zts21662e	(The Mark of Evil is next. I should remove it from there first.)
zts21663e	(I can destroy the Mark of Evil using the Flawless Essence of Purity.)
zts21664e	(My next target is the Mark of Greed. For that I need the Corrupted Essence of Generosity.)
zts21665e	(I can destroy the Mark of Greed using the Flawless Essence of Generosity.)
zts21666e	(And last of all, the Mark of Wrath. For that I need the Corrupted Essence of Serenity.)
zts21667e	(Now I have the Flawless Essence of Serenity and can destroy the Mark of Wrath with it.)
zts21668e	Act 7 - Duel Against Belial
zts21669e	(I've destroyed all of the marks. I should return to Tator now.)
zts21670e	I've destroyed all of the marks. Where is Belial?
zts21671e	You'll find him on the ground floor of the Celestial Spire. My warriors are guarding the entrance. To get inside, you'll need a certain seal.
zts21672e	How do I get this seal?
zts21673e	All of Belial's followers carry one. You can have mine.
zts21674e	Here you are. Now go to the entrance. I have already instructed my guards to let you pass.
zts21675e	I'll fight against Belial now.
zts21676e	You're our only hope.
zts21677e	Act 7 - Godslayer
zts21678e	(I'm on my way to the last battle. Just how strong can Belial be?)
zts21679e	Foolish human! I will make these stupid orcs into my soldiers and become ruler of the world. Whoever tries to stop me will die!
zts21680e	A mortal human... I'm an immortal demon. I'll be back!
zts21681e	(It's done. But it seems to me that Belial isn't dead once and for all. Anyway, Moritius is safe once again.)
zts21682e	Act 7 - Saviour of the Orcs
zts21683e	So you really survived? Then that means Belial is dead?
zts21684e	Yes. It was a long and hard fight but I won in the end.
zts21685e	Thank you very much. You are the hero of our island.
zts21686e	You've called me that once already. I like your sincerity. But Belial said that he will be back one day.
zts21687e	Hmm... We should prepare ourselves for that eventuality.
zts21688e	Yes. I agree.
zts21689e	So... are you going back to NosVille? If you stay here a bit longer, I'll treat you like a hero every day.
zts21690e	Well... I'd like to look around the island some more.
zts21691e	Does that mean you're staying? Then I'll put on a celebration for you.
zts21692e	Ah! Could you go straight to Pikadir? He would like to talk to you in private.
zts21693e	Yes. No problem.
zts21694e	Oh, here comes the saviour of the orcs.
zts21695e	Haha, you're embarrassing me. Why did you want to speak to me?
zts21696e	I'm assuming Belial said something before he died? Am I right?
zts21697e	Yes. How did you know that?
zts21698e	Powerful demons like Belial never really die. As soon as he gets a new body, he'll be back.
zts21699e	What can we do to prevent his return?
zts21700e	I have no idea. But, either way, he'll have to get used to a new body.
zts21701e	Then I will defeat Belial again.
zts21702e	With Belial weakened, we would cope on our own. But I'll let you know if he comes back.
zts21703e	Act 7 - Kidnapped Orc Man
zts21704e	You're free. Get out of here.
zts21705e	Thank you for your help. I'm going back to the village now.
zts21706e	Act 7 - Kidnapped Orc Woman
zts21707e	Hello, Propga. How are you?
zts21708e	Oh, it's you. What brings you here?
zts21709e	Not enough fish have been delivered to the village. I wanted to see why.
zts21710e	Yes. I thought so. My fishermen disappeared after fishing. I looked for them but couldn't find them. It's all a mystery to me.
zts21711e	Where were they fishing? I'll check there first.
zts21712e	On the South Beach. Hopefully you'll find them.
zts21713e	The Missing Treasure Hunters
zts21714e	Have you seen a ship from the West around here?
zts21715e	I'm not sure, lots of ships come to this harbour.
zts21716e	The ship I'm talking about is different from other ships.
zts21717e	Hmmm... Do you mean the shipwreck?
zts21718e	Shipwreck?
zts21719e	Yes, about a month ago, a ship was wrecked on the South Beach. Two men, who looked like you, survived the accident.
zts21720e	(They must be the two treasure hunters.) Where are they now?
zts21721e	They're living in a tent on the beach. I left them in peace because they're not dangerous.
zts21722e	Do you know them?
zts21723e	They're friends of an acquaintance.
zts21724e	We're So Hungry!
zts21725e	Are you a treasure hunter with the Akamur Merchants?
zts21726e	Oh, you're not an orc. I never thought I would come across a human here. Yes. I'm a treasure hunter.
zts21727e	I'm glad I've found you. Harbour Guard Tom asked me to look for you.
zts21728e	I see. I'm overjoyed he was worried and sent you.
zts21729e	How did you end up here, anyway?
zts21730e	Together with my brother Orus, I found an old treasure map in NosVille. This island was marked on the map in the East, but not the sea route leading to it. So we took a guess and set sail. After a few months at sea, we were hit by a violent storm and were shipwrecked. When I came to my senses, I was looking into the eyes of an orc. His name was...
zts21731e	Perkichan, right?
zts21732e	Oh. That's right. He told us that our ship had capsized and we were the only survivors. And he told us about this island.
