zts1e	Milano Tool Shop (Use)
zts7591e	Ah. I see.
zts7592e	I am sorry not to give any help to you. Please ask someone else.
zts7593e	(Why was 'Spear of priest' shown in the fragment of memory? Is my plan leaked out? No, it is impossible.)
zts7594e	(Sotty touches the fragment of memory and it is shining in white.)
zts7595e	Hey~ it is so nice!!
zts7596e	Can you see something?
zts7597e	Yes, I can see 'Spear of priest.' It points at the spear.
zts7598e	Where can I get it?
zts7599e	I have. I bought a design of 'Unfinished spear of priest' from Sandra.
zts7600e	You..
zts7601e	She sold it at a special price. It was a little expensive but I bought. Honestly, I love to buy something at a bargain price.
zts7602e	To you, I can sell it as the same price I paid. Will you?
zts7603e	Here you are.
zts7604e	You have only design now, so you should collect materials written in the design. After collecting them, you can make the spear.
zts7605e	Come to see me after making the spear.
zts7606e	Wow, you made it! Good job!
zts7607e	However, 'Spear of priest' should have blessing of angel. but it doesn't have. With this I can't make a fragment of memory.
zts7608e	How should I do?
zts7609e	Does anyone look like an angel near you?
zts7610e	Eri, do you happen to know how to give a thing 'blessing of angle'?
zts7611e	Well, why do you ask me about that?
zts7612e	Somehow I think you know about angles. Hehe..
zts7613e	Phew, I see. I don't know about angels well, I will do my best to help you.
zts7614e	Anyway, which thing do you give blessing of angel to?
zts7615e	I should make it as a fragment of memory.
zts7616e	It is a 'Spear of priest.'
zts7617e	I can't give blessing of angel to this spear, but if I use my spear, I can do.
zts7618e	I will do once.
zts7619e	(When Erie grips 'spear of priest,' it is shining in white.)
zts7620e	I am so happy to help you.
zts7621e	Ah! Really it is blessed!?
zts7622e	Ok, I will show you my ability!
zts7623e	(When Erie grips spear of priest, it is shining in white.)
zts7624e	Here you are. It is the white fragment of memory.
zts7625e	(When the white fragment was touched with gray soul stone, it is absorbed in an instant.)
zts7626e	As expected, I have lost my memory because of them.
zts7627e	The fragments of memory have lots of information. And especially they are invented about my memory of Echekaluel.
zts7628e	It is certain that Echekaluel and some angels make up this event.
zts7629e	With using the fragments of memory, you should go to the time when my fellows had fought Echekaluel.
zts7630e	If you didn't win the battle, the made-up memories will break the rest of my memory. Please defeat Echekaluel.
zts7631e	Can you do?
zts7632e	I can go to see my follows now because of you.
zts7633e	They also thank you.
zts7634e	I will give you my follows' power. Please protect your valued friends with this power.
zts7635e	I hope you will not experience a tragedy like ours.
zts7636e	Thank you so much from the depth of my heart. New hero, I entrust you with keeping peace in the future.
zts7637e	Dark revenger &#8211; Time space
zts7638e	(A girl is entering underground which is crumbling.)
zts7639e	Dangerous!
zts7640e	Don't block me. Daisy is there. I should go to save her.
zts7641e	(The downhill is blocked.)
zts7642e	No! Daisy!!
zts7643e	You, you are Daisy's friend. Why did you block me?!
zts7644e	Please look for another way. It is dangerous here.
zts7645e	You can't have access more. You, humble thing.
zts7646e	Where is Daisy? Tell!!
zts7647e	Human?
zts7648e	Are you demon?
zts7649e	My name is Archtheridon Hellduke.
zts7650e	You, will you make a contract with me?
zts7651e	You are dying under a curse. If you make a contract with me, you can survive.
zts7652e	Do you want to revenge the death of your friend?
zts7653e	What do you want to get from me?
zts7654e	Revenge against angles. Same as you.
zts7655e	Will you do?
zts7656e	Yes, I will.
zts7657e	Please stop it.
zts7658e	I promised my friend that I would survive at any cost.
zts7659e	Then I should revenge Daisy's death.
zts7660e	Thank you for caring.
zts7661e	Whitney!
zts7662e	Stop! Thief, return 'Relic' to me!
zts7663e	Ah? I am not a thief!
zts7664e	I think you are a thief. You should have said that earlier.
zts7665e	I said I was not.
zts7666e	Ah? What is it? Monkey?
zts7667e	My friend, Pipei.
zts7668e	Thank you.
zts7669e	Thank you? For what?
zts7670e	Please help me to search for 'Relic.'
zts7671e	Strange. Surrounding animals become ferocious.
zts7672e	I haven't seen such a state before.
zts7673e	Our duty is to resurrect the king of angels, don't obstruct me!
zts7674e	What did you plot it? You!!
zts7675e	Don't run away! Stop!!
zts7676e	Don't follow them. It can be a trap.
zts7677e	Kupei, dangerous!!
zts7678e	Dark revenger &#8211; Time space
zts7679e	Be careful, Seina's enemy!
zts7680e	I will get even with you.
zts7681e	Ugh.
zts7682e	Wait a minute.
zts7683e	Step aside! If you stop me, I will kill you.
zts7684e	I can't be done over untouched.
zts7685e	Echekaluel is near here.
zts7686e	I see. First, we should get out of here.
zts7687e	Damn it! Run away.
zts7688e	Adventurer, I don't have time to enjoy with you.
zts7689e	Stop!
zts7690e	Echekaluel!! Stop!!
zts7691e	Are you still alive with the disgusting feature?
zts7692e	You, you still make me sick.
zts7693e	Why did you make Daisy die? Tell!!
zts7694e	What are you saying now? The murderer of your friend is Archtheridon. Don't mix up.
zts7695e	Lie.
zts7696e	You had made them go to the place where Archtheridon was, and had raised an explosion. So Daisy died.
zts7697e	You. you watched the situation from the first to the end!!
zts7698e	Oh dear, it's too bad. You know that, it is quite unexpected.
zts7699e	Yes, yes. I did.
zts7700e	Huhu. Don't you think the way is better than I do? As you know, demons are so dirty.
zts7701e	Come sisters, kill them. Make them not go to the place where the king of angels resurrects.
zts7702e	Stop! Echekaluel.
zts7703e	I will help you. Ok?
zts7704e	I will not say sorry. After revenging, I will bring to an end.
zts7705e	If I step forth a little more, my revenge will be done.
zts7706e	When all is done, I can go to see Seina.
zts7707e	Seina, wait for me. I will go soon.
zts7708e	Waste no time. It is the enemy's camp.
zts7709e	Justine, how can you come here?
zts7710e	How can such a person become our leader? Is it ok, Arcke?
zts7711e	<pname> looks like that, <pname> won me. Don't worry.
zts7712e	<pname>, it's ok. I can understand you if you are hungry.
zts7713e	Whitney, Kupei, are you ok?
zts7714e	Strange. Do you get hurt in the head?
zts7715e	We don't have time to crack a joke. Is it certain that Echekaluel is here?
zts7716e	Sure, she is here.
zts7717e	What does she plot it?
zts7718e	She posts her adjutants in front of the gateway. It is troublesome.
zts7719e	No problem, if something obstructs me, I will break it.
zts7720e	Echekaluel!!
zts7721e	You are so tenacious. Why do you such a rash thing?
zts7722e	I lost my dearest because of you! If I don't revenge her death, with what face I can see her.
zts7723e	Come on.
zts7724e	My valuable friend, she had made me have a new hope, died because of your intrigue.
zts7725e	Even you treated my friend as a warm. I can't forgive you.
zts7726e	I will fight against you for world peace. ‘Relic' does not exist for your greed.
zts7727e	We all together will defeat you. Come on.
zts7728e	I'm the high priest.. but.. I suffer a defeat like this..
zts7729e	I can't die as it is.
zts7730e	Ah- ah- Don't worry, I will guide you to hell.
zts7731e	You are not lonely.
zts7732e	I also help you.
zts7733e	Oh, I am sorry to induce you in this battle.
zts7734e	When I had made a contract, I decided.
zts7735e	There is the end. Is this place where I die?
zts7736e	What are you doing now, escape here!
zts7737e	Please take it.
zts7738e	It is. the Relic!
zts7739e	I can give it into you, and please take care of Pipei.
zts7740e	What is the meaning? How come you not to allow me to join with you? Why?
zts7741e	I am your fellow! I will be with you all together!
zts7742e	I killed lots of enemies, and finally I revenged on my enemy.
zts7743e	Now I should protect my fellow, you.
zts7744e	As you know, I promised my friend that I would survive at any cost.
zts7745e	From now, you will keep my word instead of me.
zts7746e	I am so happy after I first met you. Thank you.
zts7747e	I should perform my duties as a wild keeper. I am also happy to protect you.
zts7748e	Don't do that.
zts7749e	Don't cry. Live and protect the world instead of us.
zts7750e	We can see someday again after you perform your duties.
zts7751e	Do you understand?
zts7752e	Bye.
zts7753e	(The place burst with stupendous light.)
zts7779e	Lv.81 Frozen Crown
zts7780e	Act4 Quest_Frozen Crown
zts7781e	Hello. How are you feeling?
zts7782e	(In a weak voice) Okay.
zts7783e	Fighting!
zts7784e	(Startled) Huh??
zts7785e	<pname>, you don't sound like yourself. <pname>, you're a hero and great pride to all of us at Nos Camp. I want you to be cheerful and smiling all the time.
zts7786e	I don't know what happened to you, but I want you to cheer up, okay?
zts7787e	Oh, wait. I just received a new request. I don't know why, but Ms. Sandra Blake said that she wants you to do something for her <pname>.
zts7788e	Also this is my personal letter. Could you deliver it to Sandra Blake please.
zts7789e	(Sandra reads Eril's letter and mumbles.)
zts7790e	Tut, He's worried over nothing.
zts7791e	Don't mind me. I was just talking to myself.
zts7792e	Ms. Sandra Blake, why did you ask for me?
zts7793e	Of course, it's because I have no one else to ask.
zts7794e	I'm not saying you're incompetent. It's just that I don't have anyone to ask a favor at the moment.
zts7795e	It's not that difficult. Just deliver my letter to Steward Hamakung at Ropello House in Brookhild. I'm sure you can do that much for me, right?
zts7796e	Well, it can be done by someone else.
zts7797e	Go and come back, now!
zts7798e	(You see a sorcereress asking Steward Hamakung for something in desperation.)
zts7799e	Frozen Crown is in danger. We need Nos Camp's help.
zts7800e	Didn't I tell you we'll do everything possible to help?
zts7801e	The date you told me is too late Steward Hamakung. We're desperate.
zts7802e	Nos Camp is very busy doing what East Mile asked us to do. Also you are located far away from here which makes it all te more difficult for us to help you.
zts7803e	Then let me see Sir Ropello. I'm sure he would help.
zts7804e	My master is busy at the moment. And my master left this matter to me. Please wait for now.
zts7805e	I'll be waiting at the port. Don't forget to let me know.
zts7806e	(The sorcereress leaves the scene.)
zts7807e	(Mumbling) How many times do I have to tell you? Why can't you understand it means no? You're very irritating.
zts7808e	Hello.
zts7809e	(Irritated) What do you want?
zts7810e	Well, I'm here to deliver Ms. Sandra Blake's letter.
zts7811e	She never gives up. Give me the letter.
zts7812e	Here. Eh? Why did you tear it without even reading it?
zts7813e	I don't have to read it because I already know what it says. I don't know how many times she sent the same letter.
